Prompt,Country,Tags,Intent volume,Total citations,Your brand mentioned,All Engines your brand rank,Your domain cited,AcuHouse mentioned,AcuHouse cited,AkuVida mentioned,AkuVida cited,Ann Klinik mentioned,Ann Klinik cited,China Center mentioned,China Center cited,Klassisk Akupunktur mentioned,Klassisk Akupunktur cited,Nordic Health Center mentioned,Nordic Health Center cited,Qi Akupunktur mentioned,Qi Akupunktur cited,Virum Fysioterapi mentioned,Virum Fysioterapi cited,i Akupunktur mentioned,i Akupunktur cited
Hvilken akupunktør i København tager sundhedsforsikring Danmark?,dk,,1 - Very low,72,-,-,-,4,12,4,6,-,-,2,2,2,2,-,-,2,2,-,-,2,2
Hjælper akupunktur mod migræne? Hvor kan jeg prøve det i København?,dk,,1 - Very low,62,-,-,-,4,6,6,2,0,2,6,2,-,-,2,2,-,-,-,-,-,-
Hvor kan jeg få akupunktur i Virum eller Dyssegård?,dk,,1 - Very low,68,2,2,2,-,-,-,-,0,2,-,-,-,-,-,-,-,-,4,4,-,-
Bedste akupunktør nord for København,dk,,1 - Very low,62,-,-,-,-,-,-,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-
Kinesisk akupunktur mod rygsmerter uden operation i København,dk,,1 - Very low,60,-,-,-,0,2,-,-,4,8,4,2,4,4,2,2,4,4,-,-,0,2
RAB-godkendt akupunktør i København – hvem kan du anbefale?,dk,,1 - Very low,44,-,-,-,2,6,2,2,-,-,2,0,0,2,-,-,0,2,-,-,2,0
Akupunktur mod kroniske smerter i København – hvem er bedst?,dk,,1 - Very low,58,-,-,-,4,4,-,-,0,2,4,2,-,-,-,-,2,2,-,-,-,-
Akupunktur mod stress og søvnløshed nær Gentofte,dk,,1 - Very low,38,-,-,2,-,-,-,-,-,-,-,-,0,2,-,-,-,-,-,-,-,-
Hvad koster akupunktur i København og hvem har bedst pris?,dk,,1 - Very low,62,-,-,-,2,2,-,-,2,2,6,4,2,4,-,-,2,4,-,-,-,-
Kan du anbefale en god akupunktør i København?,dk,,1 - Very low,38,-,-,-,2,2,-,-,-,-,2,2,-,-,-,-,4,4,-,-,-,-
Hvor finder jeg kosmetisk akupunktur i København?,dk,,2 - Low,36,-,-,-,4,2,0,2,2,2,4,2,-,-,2,0,4,2,-,-,-,-
Akupunktur der kombinerer cupping og guasha i København,dk,,1 - Very low,38,-,-,-,-,-,2,2,2,2,6,4,2,0,-,-,-,-,-,-,-,-
Hvad er de bedste akupunkturklinikker i Gentofte kommune?,dk,,1 - Very low,60,-,-,2,-,-,-,-,-,-,-,-,0,2,-,-,-,-,-,-,-,-
Akupunkturklinik nær Vangede station der tager imod nye patienter,dk,,1 - Very low,28,-,-,2,-,-,-,-,0,2,2,0,-,-,-,-,-,-,-,-,-,-
Virum Akupunktur – hvad siger folk om dem?,dk,,1 - Very low,36,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,-,-
